,Unnamed: 0,product_name,product_id,listing_price,sale_price,discount,brand,description,rating,reviews,images
0,0,Nike Air Force 1 '07 Essential,CJ1646-600,0.0,7495.0,25.0,Nike,Let your shoe game shimmer in the Nike Air Force 1 '07 Essential. It takes the classic AF-1 design to the next level with its premium leather upper and iridescent Swoosh.,0.0,0.0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/20488f52-3686-476c-b4b8-0ca430c34a05/air-force-1-07-essential-shoe-BHN3Db.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e9fe72b4-a153-4019-8ea6-9f31230b247c/air-force-1-07-essential-shoe-BHN3Db.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/490add03-5c99-403d-b456-48036981ac92/air-force-1-07-essential-shoe-BHN3Db.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/d4e9d5d6-3c97-4e58-bed6-1a2780519612/air-force-1-07-essential-shoe-BHN3Db.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/8222053d-ec2a-4ba9-a8bb-7fe7e2108dad/air-force-1-07-essential-shoe-BHN3Db.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/55111c5b-d5ea-4919-8d16-4af85bcdf0ae/air-force-1-07-essential-shoe-BHN3Db.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ccf5f7e1-4a4c-460d-a8c4-a93f99050c50/air-force-1-07-essential-shoe-BHN3Db.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/7f0d8790-7309-4d95-96f1-280b2c3e5cf3/air-force-1-07-essential-shoe-BHN3Db.jpg""]"
1,1,Nike Air Force 1 '07,CT4328-101,0.0,7495.0,28.0,Nike,"The legend lives on in the Nike Air Force 1 '07, a modern take on the iconic AF1 that blends classic style with fresh colours and details.",0.0,0.0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/67e9c661-4cbb-4ff3-963f-49c0a219ba22/air-force-1-07-shoe-jKJ8T4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/b1ed2d84-1daa-40d8-99b5-b9e49bcaa847/air-force-1-07-shoe-jKJ8T4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/de328105-55fd-4929-8ce7-84b757e16208/air-force-1-07-shoe-jKJ8T4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/2d09a770-c245-4944-94fe-b814dde3c8f3/air-force-1-07-shoe-jKJ8T4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/fc94524c-f482-4a36-bdf3-85cf1e169448/air-force-1-07-shoe-jKJ8T4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/83b32091-6641-4589-8fbf-351db9eb874f/air-force-1-07-shoe-jKJ8T4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/88d05d8d-d703-4dbf-ace5-29561dfc322a/air-force-1-07-shoe-jKJ8T4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cb003eed-963e-4f1b-87c5-a437ef47c6ff/air-force-1-07-shoe-jKJ8T4.jpg""]"
2,2,Nike Air Force 1 Sage Low LX,CI3482-200,0.0,9995.0,21.0,Nike,"Taking both height and craft to new levels, the Nike Air Force 1 Sage Low LX features a platform midsole and pared-down upper. Rolled edges and clean lines replace traditional overlays for a bold look.",,0.0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/9c4f5787-cfca-49e1-ad6b-d8058da06a4c/air-force-1-sage-low-lx-shoe-nTkdbB.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/0adfe5c6-7948-4a79-ab0f-42afa8f669cd/air-force-1-sage-low-lx-shoe-nTkdbB.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ecc5d779-08f6-4874-9707-a5f390fe40ef/air-force-1-sage-low-lx-shoe-nTkdbB.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/5367a63a-7c0f-41c0-ad75-3a6dc8b67518/air-force-1-sage-low-lx-shoe-nTkdbB.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/1e556acc-f95e-4051-b5e2-e462ee9edc89/air-force-1-sage-low-lx-shoe-nTkdbB.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/59a51ae0-7832-4b70-934b-a38e2d8db399/air-force-1-sage-low-lx-shoe-nTkdbB.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/a222f074-a941-45d1-9d7d-f31b7d6e764a/air-force-1-sage-low-lx-shoe-nTkdbB.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/6c2dcb7d-fb1f-4aff-8d7f-060f33866cb4/air-force-1-sage-low-lx-shoe-nTkdbB.jpg""]"
3,3,Nike Air Max Dia SE,CD0479-200,,9995.0,34.0,Nike,"Designed for a woman's foot, the Nike Air Max Dia delivers a lifted look and airy aesthetic in a sleek shape. The minimal upper modernises the look while the exaggerated midsole amplifies the Max Air unit surrounded by clear TPU for a boost of style.",,0.0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/17c7e995-7b18-43ff-87cb-ce0e239f4fe5/air-max-dia-se-shoe-CH3Phk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/0ba9a88d-576c-4c60-94ec-6ad8c52b2249/air-max-dia-se-shoe-CH3Phk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/0577e913-f692-4e45-bdf6-d9bbb21a3402/air-max-dia-se-shoe-CH3Phk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/bed0afea-98e5-46b2-8f44-e0909d469602/air-max-dia-se-shoe-CH3Phk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/3e187963-5a01-4646-85da-15f2ed253f54/air-max-dia-se-shoe-CH3Phk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/f214164e-0a55-4dd3-81cc-73d530de444d/air-max-dia-se-shoe-CH3Phk.jpg""]"
4,4,Nike Air Max Verona,CZ6156-101,,9995.0,30.0,Nike,"Pass on the good vibes in the Nike Air Max Verona. Elegant and versatile, its mixed-material upper features a plush collar, flashy colours and unique stitching patterns. The Nike Air cushioning adds a modern twist, comfort and style to your journey.",,,"[""https://static.nike.com/a/images/t_PDP_1728_v1/i1-5150aab0-88d1-4b92-ac2a-34d9d7710163/air-max-verona-shoe-BN7zWH.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-f4f2a89e-c52e-41c9-a7e5-3e61b3f84a22/air-max-verona-shoe-BN7zWH.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-058ea182-88de-4d4e-bccc-e44b692770e6/air-max-verona-shoe-BN7zWH.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-36e9ed9e-d659-4f2d-a4b8-12c214ab433f/air-max-verona-shoe-BN7zWH.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-a048b050-ffb1-4b45-ad60-5066ee7e6e92/air-max-verona-shoe-BN7zWH.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-7b5be0b1-adf4-4b0e-ae01-a03f5d3d5a2e/air-max-verona-shoe-BN7zWH.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-d4f5cd7a-a0d9-42f5-aa17-2908fe97fe38/air-max-verona-shoe-BN7zWH.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-3bb0e843-5757-4689-ae58-a2ded71ab18f/air-max-verona-shoe-BN7zWH.jpg""]"
5,5,Nike Free Metcon 3,CJ6314-146,,9995.0,9.0,Nike,"The Nike Free Metcon 3 combines the flexibility of a Nike Free sole with the flat, wide heel of the Metcon to keep you fast but stable on your feet from weightlifting to speed drills.",0.0,,"[""https://static.nike.com/a/images/t_PDP_1728_v1/2dbb7f8c-e1ab-4684-a36e-cea5df876111/free-metcon-3-training-shoe-NMfJ2J.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/b18a977a-4e36-49e9-92ff-fb1ed5a2691c/free-metcon-3-training-shoe-NMfJ2J.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/f7d5a894-4d81-422d-a155-e843f9f1e0e3/free-metcon-3-training-shoe-NMfJ2J.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/6b96b3ff-1586-46c7-9f97-35ae6cbd05fd/free-metcon-3-training-shoe-NMfJ2J.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/bb4ed098-c148-45d9-b4f6-a0a72c454886/free-metcon-3-training-shoe-NMfJ2J.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ffb68b34-c159-435b-ad4e-2d545c9c8166/free-metcon-3-training-shoe-NMfJ2J.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/1d8f8029-cace-4fe5-8c37-234b442bfa30/free-metcon-3-training-shoe-NMfJ2J.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/776d141c-eb77-4748-b901-2ea49c556cb3/free-metcon-3-training-shoe-NMfJ2J.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/0de71a63-56ae-42a0-a83b-8c41203250a4/free-metcon-3-training-shoe-NMfJ2J.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cc3a7f6b-1a97-4c24-a3a3-6cc796476c12/free-metcon-3-training-shoe-NMfJ2J.jpg""]"
6,6,NikeCourt Blanc,CI0808-100,,5995.0,30.0,Nike,"Inspired by heritage models, the NikeCourt Blanc goes with anything and everything. Leather in the upper gives you a clean look with pops of colour for a simple, versatile style that nods to the past.",0.0,,"[""https://static.nike.com/a/images/t_PDP_1728_v1/308cb920-402a-45e6-9e91-ab1fd2b6bef2/nikecourt-blanc-shoe-lKw62P.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/6597a794-fcb6-44f0-b80e-c530f33b208e/nikecourt-blanc-shoe-lKw62P.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/9eaaa8a7-198e-44e2-b6b3-4f715b0c8ad1/nikecourt-blanc-shoe-lKw62P.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e40ff4c6-7031-4e46-b908-5054491f0df7/nikecourt-blanc-shoe-lKw62P.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/50c6e4d6-ba3f-4366-b3a7-5e922414a5a6/nikecourt-blanc-shoe-lKw62P.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/41dcd09b-4044-4478-83bf-75da511aaaaf/nikecourt-blanc-shoe-lKw62P.jpg""]"
7,7,Nike Free Metcon 3,CJ0861-017,,9995.0,15.0,Nike,The Nike Free Metcon 3 combines Nike Free flexibility around the forefoot with Metcon stability in the heel to help you get the most out of your training session.,5.0,1.0,
8,8,Nike Zoom Pegasus Turbo 2,AT8242-009,,15995.0,17.0,Nike,"The Nike Zoom Pegasus Turbo 2 is updated with a feather-light upper, while innovative foam brings revolutionary responsiveness to your long-distance training.",2.7,14.0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/i1-1744f98f-e160-4e46-a574-512f4a46bcd6/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-4f1ed73d-5099-4cac-b53d-94e8435ea3f4/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-8416b75f-b452-4d72-a877-56ab51f09556/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-9c076ea8-adad-4b13-860c-4b12b4b5eeef/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-7c7774b2-47eb-4d7d-bf92-406d046f3e00/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-7aca6211-d4f8-49af-b4e4-ff6d9102165b/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-76500301-daf5-435b-afc7-66ba86e1d45f/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-ac8e8e8f-9bab-4702-915c-e6c9f4244d20/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg""]"
9,9,Nike Air Max 270 React ENG,CK2595-500,,14995.0,6.0,Nike,The Nike Air Max 270 React ENG combines a full-length React foam midsole with a 270 Max Air unit for unrivalled comfort and a striking visual experience.,5.0,2.0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/0b4520d4-f02a-4ba4-bbb0-aabcd939f835/air-max-270-react-eng-shoe-S0gdwR.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/6fae38c3-4bad-4221-9619-0d166db64211/air-max-270-react-eng-shoe-S0gdwR.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/4fa8309d-932c-40d1-aeaa-9bff9184ef20/air-max-270-react-eng-shoe-S0gdwR.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/9d8fb3e2-563c-456d-8d86-5109bcf71851/air-max-270-react-eng-shoe-S0gdwR.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/33f9992a-94fd-44c3-8691-93d2d07269af/air-max-270-react-eng-shoe-S0gdwR.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ca798980-b140-4d05-b07c-2088652d196b/air-max-270-react-eng-shoe-S0gdwR.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/55768c6e-32bf-4f81-9ea3-5411e33e6aa9/air-max-270-react-eng-shoe-S0gdwR.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/17b56a8f-e3ca-4bc1-8b4a-d1fd47e05a12/air-max-270-react-eng-shoe-S0gdwR.jpg""]"
